timestamp,asset_id,latitude,longitude,inventory_level,shipment_status,temperature,humidity,traffic_status,waiting_time,user_transaction_amount,user_purchase_frequency,logistics_delay_reason,asset_utilization,demand_forecast,logistics_delay,month,dow,hour
2024-07-31 19:53:22,Truck_10,84.1122,-87.899,126,delayed,25.1,58.0,Detour,47,291,7,traffic,92.3,123,1,7,2,19
2024-11-13 03:59:13,Truck_9,-46.8183,81.9142,175,in transit,29.6,66.0,Clear,34,467,9,weather,98.3,220,0,11,2,3
2024-06-03 09:40:42,Truck_10,30.8916,173.4833,245,delivered,22.0,61.2,Detour,22,480,6,weather,89.3,284,0,6,0,9
2024-01-16 04:10:14,Truck_6,-46.9621,87.6972,419,in transit,27.0,56.7,Detour,25,378,2,,74.3,212,0,1,1,4
2024-06-01 00:41:56,Truck_6,21.8816,128.7922,348,delayed,25.8,62.9,Detour,24,352,6,weather,96.5,164,1,6,5,0
2024-12-24 21:30:03,Truck_10,73.6225,125.9589,410,delivered,18.8,78.0,Heavy,35,228,2,mechanical failure,92.1,111,1,12,1,21
2024-01-01 11:37:57,Truck_4,-59.0753,68.4886,303,in transit,24.6,68.6,Detour,50,213,6,mechanical failure,97.1,297,0,1,0,11
2024-04-06 01:48:36,Truck_3,68.0702,98.5995,176,delivered,29.5,61.9,Clear,31,306,6,weather,73.5,217,0,4,5,1
2024-05-08 03:54:27,Truck_10,84.3451,-106.877,453,delayed,21.8,66.4,Clear,48,305,2,mechanical failure,68.9,212,1,5,2,3
2024-10-30 12:44:31,Truck_10,-70.6858,54.4683,333,delivered,27.5,55.8,Heavy,36,141,2,traffic,67.0,264,1,10,2,12
2024-06-11 08:04:09,Truck_4,-63.2064,30.0818,118,delayed,21.8,52.1,Clear,19,421,8,mechanical failure,99.1,284,1,6,1,8
2024-01-29 21:04:08,Truck_5,-15.6005,-92.1974,130,delivered,18.1,78.3,Heavy,39,424,9,traffic,92.3,143,1,1,0,21
